candidate	forma	clip	veu_confirmada	forma_confirmada	variant_transcrita	trets_fonetica	prosodia	nota_audicio	estat_audicio
lead-yt-047-katia-ustina	bueno	clips/lead-yt-047__05__bueno.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	bé	clips/lead-yt-047__06__b.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	diguem	clips/lead-yt-047__09__diguem.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	doncs	clips/lead-yt-047__10__doncs.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	llavors	clips/lead-yt-047__12__llavors.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	no?	clips/lead-yt-047__13__no.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	o sigui	clips/lead-yt-047__14__o-sigui.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	per tant	clips/lead-yt-047__15__per-tant.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	perquè	clips/lead-yt-047__16__perqu.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	diners	clips/lead-yt-047__36__diners.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	femenina	clips/lead-yt-047__45__femenina.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
lead-yt-047-katia-ustina	Andorra	clips/lead-yt-047__46__andorra.wav	pendent	pendent	pendent	pendent	pendent	pendent	pendent
