id_parlant	nom_public	n_mostres	n_formes	n_ocurrencies	formes	estat
spk-001	Alan Ward	1	8	8	aleshores,bé,clar,de fet,diguem,doncs,o sigui,perquè	perfil small agrupat; pendent d’audició
spk-002	Albert Gelabert Grau	1	5	5	crec,de fet,evidentment,llavors,perquè	perfil small agrupat; pendent d’audició
spk-003	Albert Roig	1	7	7	a veure,aleshores,bé,clar,de fet,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-004	Albert Rossa Naudí	1	3	3	aleshores,bé,perquè	perfil small agrupat; pendent d’audició
spk-005	Alfred Llahí	1	9	9	a veure,bé,clar,diguem,doncs,evidentment,llavors,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-006	Andreu Gaspà Picart	1	7	7	aleshores,bueno,bé,clar,doncs,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-007	Angelina Mas	1	12	13	a veure,aleshores,bueno,bé,clar,crec,diguem,evidentment,llavors,o sigui,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-008	Antoni Armengol Vila	2	10	17	a nivell,a veure,bueno,crec,de fet,doncs,llavors,perquè,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-009	Antoni Jordi Areny	1	9	11	bé,clar,de fet,diguem,llavors,perquè,tirar endavant,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-010	Antoni Morell	1	9	10	a nivell,a veure,bé,crec,doncs,llavors,o sigui,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-011	Carles Sasplugas	1	8	8	a nivell,bueno,bé,crec,de fet,evidentment,llavors,perquè	perfil small agrupat; pendent d’audició
spk-012	Casimir Arajol	1	0	0		perfil small agrupat; pendent d’audició
spk-013	Cielo	1	1	1	perquè	perfil small agrupat; pendent d’audició
spk-014	Daniel Armengol	1	7	7	a veure,bé,clar,crec,o sigui,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-015	Enric Casadevall Medrano	1	7	7	clar,crec,de fet,diguem,evidentment,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-016	Enric Dolsa Font	2	13	21	a veure,aleshores,bueno,clar,crec,doncs,evidentment,llavors,o sigui,perquè,tirar endavant,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-017	Esther Jover	1	7	7	a veure,bé,de fet,doncs,evidentment,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-018	Eudald Guillamet	1	9	10	a nivell,a veure,bé,clar,doncs,evidentment,llavors,o sigui,perquè	perfil small agrupat; pendent d’audició
spk-019	Francina Pons	1	5	5	bé,de fet,evidentment,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-020	Gabriel Dallerès Codina	2	6	9	a nivell,bé,llavors,o sigui,perquè,tirar endavant	perfil small agrupat; pendent d’audició
spk-021	Gualbert Osorio	1	0	0		perfil small agrupat; pendent d’audició
spk-022	Guillem Areny Argelich	1	7	7	a nivell,aviam,bé,clar,diguem,doncs,perquè	perfil small agrupat; pendent d’audició
spk-023	Irene Clua	1	3	3	bueno,crec,és a dir	perfil small agrupat; pendent d’audició
spk-024	Jaume Bartumeu Cassany	1	10	10	a veure,aleshores,clar,crec,de fet,diguem,evidentment,o sigui,perquè,reformeta	perfil small agrupat; pendent d’audició
spk-025	Joan Santamaria Terré	1	4	4	bé,crec,evidentment,perquè	perfil small agrupat; pendent d’audició
spk-026	Jordi Farràs Forné	1	10	10	a nivell,a veure,bé,clar,crec,de fet,evidentment,llavors,perquè,reformeta	perfil small agrupat; pendent d’audició
spk-027	Jordi Marquet	1	6	6	bueno,crec,diguem,o sigui,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-028	Jordi Mas Torres	1	8	8	a nivell,a veure,bé,clar,doncs,evidentment,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-029	Jordi Torres Alís	1	4	4	crec,de fet,evidentment,perquè	perfil small agrupat; pendent d’audició
spk-030	Josep Areny	1	6	6	aleshores,bé,diguem,doncs,llavors,és a dir	perfil small agrupat; pendent d’audició
spk-031	Josep Areny Fité	1	8	8	a veure,bueno,crec,doncs,evidentment,perquè,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-032	Josep Casal	1	2	2	crec,perquè	perfil small agrupat; pendent d’audició
spk-033	Josep Garrallà Rossell	1	8	8	a veure,aleshores,clar,crec,de fet,doncs,perquè,tirar endavant	perfil small agrupat; pendent d’audició
spk-034	Josep Marsal Riba	1	4	4	crec,doncs,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-035	Ladislau Baró Solà	1	6	6	a nivell,clar,crec,de fet,evidentment,perquè	perfil small agrupat; pendent d’audició
spk-036	Ludmilla Lacueva	1	4	5	bé,doncs,llavors,o sigui	perfil small agrupat; pendent d’audició
spk-037	Maria Reig Moles	1	11	11	a nivell,bueno,bé,clar,crec,doncs,llavors,o sigui,perquè,reformeta,vull dir	perfil small agrupat; pendent d’audició
spk-038	Mercè Segura	1	10	10	a veure,bueno,bé,clar,crec,ensenyança,evidentment,perquè,tirar endavant,vull dir	perfil small agrupat; pendent d’audició
spk-039	Miquel Aleix Areny	2	6	8	crec,diguem,llavors,perquè,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-040	Miquel Armengol Pons	1	9	9	a veure,clar,crec,evidentment,o sigui,perquè,reformeta,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-041	Miquel Naudi Casal	1	8	12	bueno,bé,clar,crec,doncs,llavors,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-042	Mossèn Ramon de Canillo	1	10	11	a nivell,aleshores,bueno,bé,clar,crec,doncs,o sigui,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-043	Nadia Aleix Tugas	2	10	17	a nivell,bueno,clar,doncs,evidentment,llavors,perquè,tirar endavant,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-044	Olga Adellach Coma	1	13	13	a nivell,a veure,bé,clar,crec,de fet,doncs,evidentment,llavors,o sigui,perquè,vull dir,és a dir	perfil small agrupat; pendent d’audició
spk-045	Patrick Pérez	1	9	10	a nivell,a veure,bueno,bé,crec,evidentment,llavors,o sigui,vull dir	perfil small agrupat; pendent d’audició
spk-046	Pere Altimir Pintat	1	8	8	a nivell,bueno,bé,clar,crec,evidentment,llavors,perquè	perfil small agrupat; pendent d’audició
spk-047	Pere Torres	1	2	2	llavors,perquè	perfil small agrupat; pendent d’audició
spk-048	Ramon Canut Bové	2	8	14	a nivell,a veure,bé,evidentment,o sigui,perquè,reformeta,vull dir	perfil small agrupat; pendent d’audició
spk-049	Robert Cassany Vila	1	5	5	bé,clar,de fet,doncs,llavors	perfil small agrupat; pendent d’audició
spk-050	Robert Lizarte	1	6	6	bé,clar,doncs,evidentment,o sigui,perquè	perfil small agrupat; pendent d’audició
spk-051	Rosa Maria Mandicó Alcobé	1	8	8	a nivell,a veure,bé,crec,diguem,reformeta,tirar endavant,és a dir	perfil small agrupat; pendent d’audició
spk-052	Rosa Vidal	1	3	3	bueno,clar,perquè	perfil small agrupat; pendent d’audició
spk-053	Roser Bastida	1	11	11	a nivell,bueno,bé,clar,crec,de fet,ensenyança,evidentment,perquè,tirar endavant,és a dir	perfil small agrupat; pendent d’audició
spk-054	Roser Jordana	1	10	10	a nivell,a veure,bé,clar,crec,doncs,llavors,o sigui,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-055	Ruth Casabella	1	4	4	bé,doncs,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-056	Sara Ubach	1	4	4	bé,doncs,llavors,perquè	perfil small agrupat; pendent d’audició
spk-057	Teo Armengol	1	9	9	a veure,aviam,bé,clar,crec,evidentment,o sigui,perquè,vull dir	perfil small agrupat; pendent d’audició
spk-058	Trini Mandicó Baró	1	3	3	bueno,llavors,perquè	perfil small agrupat; pendent d’audició
spk-059	Xavier Planas	1	7	7	clar,crec,de fet,doncs,llavors,perquè,és a dir	perfil small agrupat; pendent d’audició
spk-060	Àngels Mach	1	0	0		perfil small agrupat; pendent d’audició
